sequence_name,gc_content,P2,RNA,terH,total_score
sample7360,51.724137931034484,0.3978494623655914,0.1743486973947896,0.25,0
sample4520,25.333333333333332,0.367816091954023,0.15090543259557343,0.3013698630136986,0
sample3222,52.67857142857143,0.3275862068965517,0.222,0.20535714285714285,0
sample3441,58.108108108108105,0.30344827586206896,0.28205128205128205,0.16428571428571428,0
sample693,46.15384615384615,0.27906976744186046,0.025896414342629483,0.36,0
sample6195,50.73529411764706,0.2765957446808511,0.268389662027833,0.18110236220472442,0
sample1579,36.36363636363637,0.2654320987654321,0.3108910891089109,0.14285714285714285,0
sample3062,32.64248704663213,0.234375,0.344294003868472,0.12041884816753927,0
sample8535,35.204081632653065,0.23076923076923078,0.357421875,0.11734693877551021,0
sample1432,38.0,0.1836734693877551,0.39664804469273746,0.0954356846473029,0
sample3391,55.06072874493927,0.18218623481781376,0.3903345724907063,0.09387755102040816,0
sample5705,53.9568345323741,0.16304347826086957,0.3935599284436494,0.08303249097472924,0
sample2564,32.97491039426523,0.16304347826086957,0.43357933579335795,0.08243727598566308,0
sample8027,56.375838926174495,0.15151515151515152,0.4056437389770723,0.07718120805369127,0
sample111,30.35143769968051,0.14376996805111822,0.4397163120567376,0.0782312925170068,0
sample5275,55.900621118012424,0.14018691588785046,0.4204152249134948,0.07142857142857142,0
sample2147,32.193732193732195,0.1282051282051282,0.4522184300341297,0.06609195402298851,0
sample4725,36.47342995169082,0.1089588377723971,0.47258064516129034,0.05555555555555555,0
sample7872,57.50487329434698,0.08893280632411067,0.4403409090909091,0.044921875,0
sample8851,45.05703422053232,0.08555133079847908,0.4526166902404526,0.04389312977099236,0
sample2040,33.52059925093633,0.08442776735459662,0.48,0.04466019417475728,0
sample6982,57.38831615120275,0.07758620689655173,0.4298941798941799,0.03951890034364261,0
sample5161,56.5359477124183,0.07352941176470588,0.43427835051546393,0.03770491803278689,0
sample9753,45.996860282574566,0.07154213036565978,0.4445859872611465,0.03627760252365931,0
sample4103,46.855345911949684,0.07075471698113207,0.4502551020408163,0.03639240506329114,0
sample6522,49.004594180704444,0.06976744186046512,0.4389027431421446,0.03533026113671275,0
sample7796,60.24653312788906,0.0695517774343122,0.4155363748458693,0.03560371517027864,0
sample5101,30.987821380243574,0.06089309878213803,0.4588235294117647,0.03116531165311653,0
sample9679,39.876543209876544,0.05555555555555555,0.4375,0.02882205513784461,0
sample9403,60.6492478226445,0.055350553505535055,0.16730917501927525,0.009112519809825673,0
sample1092,39.29384965831435,0.05131128848346636,0.4315352697095436,0.026497695852534562,0
sample6135,58.21014782261287,0.046343975283213185,0.15423076923076923,0.009192645883293365,0
sample8129,30.54755043227666,0.043227665706051875,0.38669064748201437,0.022157996146435453,0
sample899,52.10084033613445,0.037815126050420166,0.3736799350121852,0.0193929173693086,0
sample5192,37.236363636363635,0.03272727272727273,0.33861671469740634,0.016800584368151936,0
sample1689,53.170028818443804,0.03253796095444685,0.33004926108374383,0.01658255227108868,0
sample4640,43.24512534818942,0.0314026517794836,0.3255654557916381,0.01609517144856543,0
sample774,51.540983606557376,0.02956636005256242,0.30373230373230375,0.015081967213114755,0
sample2613,27.185705169112953,0.02871729419272495,0.3022670025188917,0.014687100893997445,0
sample6950,53.12302839116719,0.028427037271004423,0.29950186799501866,0.01454775458570525,0
