id,split,finetune
AB063523.1,train,False
AB244976.1,train,False
AB576781.2,train,False
AB605179.1,train,False
ADWN02000004.1,train,False
AE017195.1,train,False
AF128883.1,train,False
AF318175.1,train,False
AJ297913.2,train,False
AJ304453.1,train,False
AJ639924.1,train,False
AJ863570.1,train,False
AL645771.1,train,False
AM157767.1,train,False
AM261282.1,train,False
AP007210.1,train,False
AP007211.1,train,False
AP007212.1,val,False
AP007213.1,train,False
AP007214.1,train,False
AP011958.1,train,False
AP011959.1,train,False
AP012045.1,train,False
AP012552.1,train,False
AP012553.1,train,False
AP014566.1,train,False
AP014579.1,train,False
AP014580.1,train,False
AP014581.1,val,False
AP014659.1,train,False
AP014686.1,train,False
AP014687.1,val,False
AP014688.1,train,False
AP014713.1,train,False
AP014720.1,train,False
AP014721.1,train,False
AP014952.1,train,False
AP014953.1,train,False
AP014954.1,train,False
AP014955.1,train,False
AP017382.1,train,False
AP017383.1,train,False
AP017384.1,train,False
AP017627.1,train,False
AP017628.1,val,False
AP017915.1,val,False
AP017916.1,val,False
AP017917.1,train,False
AP017918.1,train,False
AP017919.1,train,False
AP017921.1,train,False
AP017969.1,train,False
AP017970.1,val,False
AP017992.1,train,False
AP017993.1,train,False
AP017994.1,train,False
AP017995.1,val,False
AP018275.1,test,False
AP018276.1,train,False
AP018277.1,train,False
AP018278.1,test,False
AP018279.1,train,False
AP018319.1,train,False
AP018320.1,train,False
AP018321.1,train,False
AP018323.1,train,False
AP018324.1,train,False
AP018325.1,train,False
AP018497.1,train,False
AP018534.1,train,False
AP018698.1,train,False
AP018700.1,val,False
AP018701.1,train,False
AP018702.1,train,False
AP018703.1,train,False
AP018704.1,train,False
AP018705.1,train,False
AP018706.1,train,False
AP018707.1,train,False
AP018708.1,val,False
AP018709.1,train,False
AP018710.1,train,False
AP019515.1,train,False
AP019683.1,train,False
AP019704.1,test,False
AP019705.1,train,False
AP019707.1,test,False
AP019709.1,train,False
AP019710.1,train,False
AP019809.1,train,False
AP019816.1,val,False
AP020331.1,train,False
AP020333.1,train,False
AP020334.1,train,False
AP021850.1,train,False
AP021851.1,train,False
AP021852.1,train,False
AP021860.1,test,False
AP021941.1,train,False
AP021942.1,train,False
AP021943.1,train,False
AP021970.1,train,False
AP021971.1,train,False
AP022021.1,train,False
AP022022.1,train,False
AP022023.1,test,False
AP022024.1,train,False
AP022025.1,val,False
AP022026.1,train,False
AP022027.1,train,False
AP022029.1,train,False
AP022086.1,train,False
AP022158.1,train,False
AP022190.1,train,False
AP022191.1,train,False
AP022192.1,train,False
AP022193.1,train,False
AP022196.1,train,False
AP022197.1,train,False
AP022198.1,train,False
AP022199.1,train,False
AP022200.1,train,False
AP022202.1,train,False
AP022203.1,train,False
AP022204.1,train,False
AP022205.1,train,False
AP022229.1,train,False
AP022230.1,train,False
AP022231.1,train,False
AP022232.1,train,False
AP022233.1,val,False
AP022234.1,val,False
AP022235.1,train,False
AP022236.1,val,False
AP022237.1,train,False
AP022275.1,train,False
AP022276.1,train,False
AP022277.1,train,False
AP022278.1,train,False
AP022279.1,train,False
AP022280.1,train,False
AP022308.1,train,False
AP022309.1,train,False
AP022310.1,train,False
AP022311.1,train,False
AP022312.1,train,False
AP022381.1,test,False
AP022382.1,test,False
AP022383.1,train,False
AP022385.1,train,False
AP022386.1,train,False
AP022387.1,train,False
AP022388.1,train,False
AP022420.1,train,False
AP022421.1,train,False
AP022422.1,train,False
AP022423.1,train,False
AP022424.1,train,False
AP022425.1,val,False
AP022426.1,train,False
AP022427.1,train,False
AP022428.1,train,False
AP022429.1,train,False
AP022430.1,train,False
AP022439.1,train,False
AP022440.1,train,False
AP022441.1,train,False
AP022442.1,train,False
AP022443.1,train,False
AP022444.1,train,False
AP022445.1,train,False
AP022554.1,train,False
AP022555.1,train,False
AP022556.1,test,False
AP022644.1,train,False
AP022645.1,train,False
AP022646.1,val,False
AP022647.1,train,False
AP022648.1,train,False
AP022649.1,train,False
AP022666.1,train,False
AP022667.1,train,False
AP022668.1,train,False
AP022669.1,val,False
AP022670.1,train,False
AP022831.1,train,False
AP022832.1,train,False
AP022833.1,train,False
AP022895.1,train,False
AP022896.1,test,False
AP022897.1,train,False
AP022898.1,val,False
AP022899.1,train,False
AP022900.1,train,False
AP022901.1,train,False
AP022902.1,test,False
AP023006.1,train,False
AP023007.1,train,False
AP023008.1,train,False
AP023009.1,val,False
AP023010.1,train,False
AP023011.1,train,False
AP023012.1,train,False
AP023013.1,test,False
AP023015.1,val,False
AP023016.1,test,False
AP023017.1,train,False
AP023018.1,train,False
AP023019.1,train,False
AP023020.1,train,False
AP023021.1,test,False
AP023022.1,train,False
AP023023.1,train,False
AP023024.1,train,False
AP023025.1,train,False
AP023026.1,train,False
AP023241.1,train,False
AP023265.1,val,False
AP023266.1,train,False
AP023267.1,train,False
AP023274.1,val,False
AP023275.1,train,False
AP023276.1,train,False
AP023277.1,val,False
AP023278.1,train,False
AP023281.1,train,False
AP023282.1,val,False
AP023283.1,train,False
AP023284.1,train,False
AP023285.1,train,False
AP023409.1,train,False
AP024098.1,train,False
AP024100.1,train,False
AP024102.1,test,False
AP024104.1,train,False
AP024106.1,train,False
AP024108.1,val,False
AP024132.2,test,False
AP024133.2,train,False
AP024153.1,train,False
AP024158.1,test,False
AP024160.1,train,False
AP024162.1,val,False
AP024163.1,train,False
AP024278.1,train,False
AP024279.1,val,False
AP024346.1,train,False
AP024350.1,train,False
AP024353.1,train,False
AP024411.1,train,False
AP024472.1,train,False
AP024474.1,train,False
AP024476.1,train,False
AP024477.1,train,False
AP024479.1,test,False
AP024496.1,train,False
AP024497.1,test,False
AP024583.1,train,False
AP024584.1,train,False
AP024591.1,val,False
AP024632.1,train,False
AP024633.1,train,False
AP024635.1,train,False
AP024638.1,val,False
AP024640.1,val,False
AP024642.1,train,False
AP024645.1,train,False
AP024662.1,val,False
AP024663.1,train,False
AP024695.1,train,False
