sample_id	num_contigs	size	gc	md5	rep_type(s)	rep_type_accession(s)	relaxase_type(s)	relaxase_type_accession(s)	mpf_type	mpf_type_accession(s)	orit_type(s)	orit_accession(s)	predicted_mobility	mash_nearest_neighbor	mash_neighbor_distance	mash_neighbor_identification	primary_cluster_id	secondary_cluster_id	predicted_host_range_overall_rank	predicted_host_range_overall_name	observed_host_range_ncbi_rank	observed_host_range_ncbi_name	reported_host_range_lit_rank	reported_host_range_lit_name	associated_pmid(s)
finetune_2024-09-07-10-59_samples:AA337	178	364366	53.477272852022416	3317b52740a11b25f4dc42a2abe75fe2	IncFIA,IncFIA,IncFIA,IncFIC,IncFIA,IncFIC,IncFIA,IncFII,rep_cluster_2232	000136__AP014877_00014,CP022610_00144,000136__AP014877_00014,CP003035,MK878891_00042,AP001918,000136__AP014877_00014,AJ851089,CP031286_00006	MOBF,MOBF,MOBF,MOBF,MOBF,MOBF,MOBF,MOBF,MOBF,MOBF,MOBF	AP018572_00011,NC_011980_00044,MF535908_00027,CP008715_00128,CP026812_00205,CP042601_00097,CP042640_00139,AP018572_00011,CP008715_00128,MF535908_00027,AP018572_00011	MPF_F	NC_019072_00073,NZ_CM001154_00091,NC_022651_00077,08-5333_00200,NZ_CM001154_00091,NC_022651_00077,08-5333_00200,NC_013121_00043,NC_022651_00077,NC_019094_00090,NC_010409_00124,NC_019094_00090	MOBP,MOBF,MOBF,MOBP,MOBF,MOBP,MOBF,MOBF,MOBF,MOBF,MOBF	AP014804,NZ_CM001473,AF242367,NC_022374,CP013836,NZ_CM001472,CP000430,CP015086,AF242367,KT754162,NZ_CM001473	conjugative	CP041566	0.0533217	Escherichia coli	AA337	-	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	10773089; 25389419; 19897651; 24247128; 20851899; 22511964
finetune_2024-09-07-10-59_samples:novel_e23fa24fc82764b5fcd21c1083d853aa	44	90068	49.3582626460008	e23fa24fc82764b5fcd21c1083d853aa	-	-	MOBP,MOBP,MOBP,MOBP,MOBP,MOBP,MOBP	CP031907_00103,CP031920_00013,CP031283_00205,CP042618_00082,CP031283_00205,CP022502_00062,CP031283_00205	MPF_I	NC_019097_00056,NZ_CM001473_00091,NC_019097_00056	MOBP,MOBP,MOBP,MOBP,MOBP,MOBP,MOBP,MOBP,MOBP	AB290882,HM021326,AB290882,AB290882,AB290882,HM021326,HM021326,AB290882,KM107848	conjugative	CP029367	0.0623675	Escherichia coli	novel_e23fa24fc82764b5fcd21c1083d853aa	-	family	Enterobacteriaceae	family	Enterobacteriaceae	-	-	-
finetune_2024-09-07-10-59_samples:AA670	16	32752	47.42305813385442	8912801b6cc86164ac8b18e2916286a3	rep_cluster_2350,rep_cluster_2350,rep_cluster_2370,rep_cluster_2392	CP041342_00001,CP035723_00002,CP039563_00003,CP045830_00002	MOBF	CP019897	-	-	MOB_unknown,MOB_unknown,MOB_unknown,MOB_unknown,MOB_unknown,MOB_unknown,MOB_unknown,MOB_unknown,MOB_unknown,MOB_unknown,MOB_unknown,MOBF,MOB_unknown,MOB_unknown,MOB_unknown	NC_003079,KU932034,CP010128,CP010128,NC_011407,CP010128,NC_003079,CP010128,CP010128,CP010128,NC_011407,KT950740,NC_019986,NC_011407,NC_019102	mobilizable	CP019695	0.0369409	Shigella sonnei	AA670	AI947	multi-phylla	Actinobacteria,Bacteroidetes,Proteobacteria,Firmicutes	multi-phylla	Actinobacteria,Bacteroidetes,Proteobacteria,Firmicutes	genus	Escherichia	6263753; 17122402; 26802429
finetune_2024-09-07-10-59_samples:AA974	51	104397	46.1842773259768	11717e6a804b06addebd2ff55baffb65	Col156,Col156,Col156,Col156,rep_cluster_2131	CP019693_00001,KP970685_00001,NC_009781,CP001126_00001,CP030770_00142	MOBQ,MOBQ	CP042635_00005,NC_013719_00001	-	-	-	-	mobilizable	CP019693	0.0198862	Shigella sonnei	AA974	AJ473	family	Enterobacteriaceae	family	Enterobacteriaceae	genus	Escherichia	25389419
finetune_2024-09-07-10-59_samples:AC510	16	32752	50.52210552027357	7348dfbac798153b7988225208e6c82c	rep_cluster_2350,rep_cluster_2350,rep_cluster_2358	CP035723_00002,CP035723_00002,CP000974_00005	MOBF,MOBP,MOBP,MOBP,MOBP,MOBP,MOBP,MOBP,MOBP,MOBP	CP019897,NC_019076_00002,LT985292_00003,NC_017321_00002,NC_017321_00002,LT985292_00003,LT985292_00003,NC_017321_00002,NC_019076_00002,NC_020251_00005	-	-	MOBP,MOBP,MOBP,MOBP,MOBP	NZ_CP012498,NC_008697,KY014464,KY421937,NC_010485	mobilizable	CP014198	0.0391011	Escherichia coli	AC510	AL726	multi-phylla	Actinobacteria,Bacteroidetes,Proteobacteria,Firmicutes	multi-phylla	Actinobacteria,Bacteroidetes,Proteobacteria,Firmicutes	genus	Escherichia	6263753; 17122402; 26802429
finetune_2024-09-07-10-59_samples:AB595	38	77786	53.17537860283341	addfb81874257093ef56d52d55c021f1	ColRNAI_rep_cluster_1857,rep_cluster_2335,rep_cluster_2335,rep_cluster_2358,rep_cluster_2350,rep_cluster_2358	GU949535_00001,KU302809_00001,KU302809_00001,CP000974_00005,CP035723_00002,CP000974_00005	MOBP,MOBP	LT985292_00003,NC_017321_00002	-	-	MOBP,MOBP,MOBP,MOBP,MOB_unknown,MOBP,MOBP,MOBP	AJ001708,AJ001708,AJ001708,AJ001708,CP016722,NC_008697,AJ001708,AJ001708	mobilizable	FM180570	0.0391011	Escherichia coli O127:H6 str. E2348/69	AB595	AK439	multi-phylla	Actinobacteria,Bacteroidetes,Proteobacteria,Firmicutes	multi-phylla	Actinobacteria,Bacteroidetes,Proteobacteria,Firmicutes	phylum	Proteobacteria	24096417; 17122402; 24777092; 6263753; 23800906; 20008783; 26802429
finetune_2024-09-07-10-59_samples:novel_0869f27bdb88d74afa76fdac55a02d45	8	16376	43.99120664386908	0869f27bdb88d74afa76fdac55a02d45	ColpVC	JX133088	-	-	-	-	MOBP,MOBP	JN253636,AB290882	mobilizable	CP027767	0.0786628	Escherichia coli	novel_0869f27bdb88d74afa76fdac55a02d45	-	order	Enterobacterales	order	Enterobacterales	-	-	-
finetune_2024-09-07-10-59_samples:AB272	105	214935	44.47716751576058	8cb8c796efb5437502f2bb32c779a9eb	IncFIC	CR942285	MOBF,MOBP	CP026812_00205,NC_021819_00066	-	-	MOBF,MOBF	NZ_CM001473,KT754162	mobilizable	CP044160	0.0396325	Shigella flexneri	AB272	-	order	Enterobacterales	order	Enterobacterales	family	Enterobacteriaceae	28842132
finetune_2024-09-07-10-59_samples:AA579	55	112585	50.255362614913174	377a7d8198a6eaac7b08ce31389ac653	Col8282,rep_cluster_1778,rep_cluster_1778,rep_cluster_1778,rep_cluster_1778,rep_cluster_1778	DQ995352,001211__AP017616_00002,001198__NC_010486_00001,001201__CP010878_00001,001202__CP011432_00001,001200__CP018980_00001	MOBQ,MOBQ	NC_011411_00002,NC_008487_00001	-	-	MOBQ,MOBQ,MOBQ,MOBQ,MOBQ,MOBQ,MOBQ,MOBQ,MOBQ,MOBQ,MOBQ,MOBQ,MOBQ,MOBQ,MOBQ,MOBQ,MOBQ,MOBQ,MOBQ,MOBQ,MOBQ,MOBQ,MOBQ,MOBQ,MOBQ,MOBQ,MOBQ,MOBQ,MOBQ,MOBQ,MOBQ,MOBQ,MOBQ,MOBQ,MOBQ,MOBQ,MOBQ,MOBQ,MOBQ,MOBQ,MOBQ,MOBQ,MOBQ,MOBQ,MOBQ,MOBQ,MOBQ,MOBQ,MOBQ,MOBQ,MOBQ,MOBQ,MOBQ,MOBQ,MOBQ,MOBQ	NC_009791,NC_009791,NC_013327,NC_002126,NC_009791,NC_016036,NC_009791,NC_013503,NC_009791,NC_013503,NC_016036,NC_010672,NC_013327,NC_009791,NC_013327,NC_009791,NC_013327,NC_009791,NC_013503,NC_009791,NC_013327,NC_009791,NC_013327,NC_009791,NC_013327,NC_009791,NC_010672,NC_016036,NC_009791,NC_013503,NC_009791,NC_009791,NC_013503,NC_016036,NC_010672,NC_016036,NC_013503,NC_009791,NC_010672,NC_016036,NC_013503,NC_009791,NC_009791,NC_009791,NC_009791,NC_013503,NC_009791,NC_013503,NC_013503,NC_009791,NC_016036,NC_010672,NC_010672,NC_016036,NC_010672,NC_016036	mobilizable	KT693144	0.030875	Escherichia coli	AA579	AI797	family	Enterobacteriaceae	family	Enterobacteriaceae	-	-	-
finetune_2024-09-07-10-59_samples:AA977	15	30705	50.88747760950985	4035397f1382793d7b48c52eb4b5b2af	Col156,Col156,rep_cluster_2131,rep_cluster_2131,rep_cluster_2131	CP001126_00001,CP019693_00001,CP030770_00142,CP041341_00001,CP010218_00004	MOBQ	NC_019783_00003	-	-	-	-	mobilizable	CP041341	0.0139486	Escherichia coli	AA977	AJ479	family	Enterobacteriaceae	family	Enterobacteriaceae	genus	Escherichia	25389419
