id,cluster,split,finetune
AB063523.1,21040,train,False
AB244976.1,34558,train,False
AB576781.2,27891,train,False
AB605179.1,27892,train,False
ADWN02000004.1,614,train,False
AE017195.1,27893,train,False
AF128883.1,27894,train,False
AF318175.1,27895,val,False
AJ297913.2,27896,train,False
AJ304453.1,27897,train,False
AJ639924.1,27890,train,False
AJ863570.1,27898,train,False
AL645771.1,27900,train,False
AM157767.1,27901,val,False
AM261282.1,27902,train,False
AP007210.1,27903,train,False
AP007211.1,27904,train,False
AP007212.1,242,val,False
AP007213.1,138,train,False
AP007214.1,222,train,False
AP011958.1,27905,train,False
AP011959.1,19,train,False
AP012045.1,27906,train,False
AP012552.1,27899,test,False
AP012553.1,27888,train,False
AP014566.1,27879,train,False
AP014579.1,27887,train,False
AP014580.1,27871,train,False
AP014581.1,27872,train,False
AP014659.1,27873,test,False
AP014686.1,27874,train,False
AP014687.1,27875,val,False
AP014688.1,27876,train,False
AP014713.1,175,train,False
AP014720.1,27877,train,False
AP014721.1,27870,train,False
AP014952.1,27878,train,False
AP014953.1,27880,train,False
AP014954.1,27881,train,False
AP014955.1,597,train,False
AP017382.1,27882,train,False
AP017383.1,27883,train,False
AP017384.1,27884,test,False
AP017627.1,27885,val,False
AP017628.1,27886,train,False
AP017915.1,27907,train,False
AP017916.1,27889,train,False
AP017917.1,27908,train,False
AP017918.1,27929,train,False
AP017919.1,27931,train,False
AP017921.1,27932,train,False
AP017969.1,27933,train,False
AP017970.1,27934,train,False
AP017992.1,27935,train,False
AP017993.1,27936,test,False
AP017994.1,27937,val,False
AP017995.1,27930,train,False
AP018275.1,27938,train,False
AP018276.1,27940,train,False
AP018277.1,27941,train,False
AP018278.1,27942,val,False
AP018279.1,27943,train,False
AP018319.1,27944,train,False
AP018320.1,27945,train,False
AP018321.1,27946,test,False
AP018323.1,27939,train,False
AP018324.1,27928,val,False
AP018325.1,27919,train,False
AP018497.1,27927,train,False
AP018534.1,660,train,False
AP018698.1,27911,train,False
AP018700.1,27912,train,False
AP018701.1,27913,train,False
AP018702.1,369,val,False
AP018703.1,249,train,False
AP018704.1,166,train,False
AP018705.1,27914,test,False
AP018706.1,27915,train,False
AP018707.1,27916,train,False
AP018708.1,27917,train,False
AP018709.1,27910,train,False
AP018710.1,27918,val,False
AP019515.1,27920,train,False
AP019683.1,27921,train,False
AP019704.1,27922,train,False
AP019705.1,27923,test,False
AP019707.1,27924,train,False
AP019709.1,27925,train,False
AP019710.1,27926,train,False
AP019809.1,27909,test,False
AP019816.1,27869,val,False
AP020331.1,27,train,False
AP020333.1,27868,train,False
AP020334.1,11,val,False
AP021850.1,27867,test,False
AP021851.1,27811,train,False
AP021852.1,27812,train,False
AP021860.1,27813,train,False
AP021941.1,27814,train,False
AP021942.1,27815,train,False
AP021943.1,6,train,False
AP021970.1,27816,test,False
AP021971.1,27817,train,False
AP022021.1,27810,train,False
AP022022.1,27818,train,False
AP022023.1,169,train,False
AP022024.1,9,test,False
AP022025.1,47,train,False
AP022026.1,10,train,False
AP022027.1,101,test,False
AP022029.1,173,train,False
AP022086.1,27820,train,False
AP022158.1,27821,train,False
AP022190.1,27822,train,False
AP022191.1,27823,train,False
AP022192.1,27824,test,False
AP022193.1,27825,train,False
AP022196.1,27826,train,False
AP022197.1,27819,val,False
AP022198.1,27809,train,False
AP022199.1,27808,val,False
AP022200.1,298,train,False
AP022202.1,27807,train,False
AP022203.1,27790,train,False
AP022204.1,27791,test,False
AP022205.1,27792,train,False
AP022229.1,27793,val,False
AP022230.1,27794,train,False
AP022231.1,36,train,False
AP022232.1,605,train,False
AP022233.1,47,train,False
AP022234.1,16,train,False
AP022235.1,11,val,False
AP022236.1,96,train,False
AP022237.1,25,train,False
AP022275.1,27795,train,False
AP022276.1,27796,train,False
AP022277.1,27797,train,False
AP022278.1,6,train,False
AP022279.1,128,train,False
AP022280.1,68,train,False
AP022308.1,27798,train,False
AP022309.1,27799,train,False
AP022310.1,27800,train,False
AP022311.1,27801,train,False
AP022312.1,27802,train,False
AP022381.1,27803,train,False
AP022382.1,27804,train,False
AP022383.1,1,train,False
AP022385.1,27805,test,False
AP022386.1,27806,train,False
AP022387.1,27827,val,False
AP022388.1,1,train,False
AP022420.1,27828,train,False
AP022421.1,27829,train,False
AP022422.1,27849,test,False
AP022423.1,92,val,False
AP022424.1,298,train,False
AP022425.1,96,train,False
AP022426.1,460,train,False
AP022427.1,101,test,False
AP022428.1,211,train,False
AP022429.1,309,test,False
AP022430.1,25,train,False
AP022439.1,27851,train,False
AP022440.1,77,train,False
AP022441.1,77,train,False
AP022442.1,276,train,False
AP022443.1,4,train,False
AP022444.1,18,train,False
AP022445.1,109,train,False
AP022554.1,27852,test,False
AP022555.1,27853,train,False
AP022556.1,27854,train,False
AP022644.1,27855,train,False
AP022645.1,27856,train,False
AP022646.1,27857,train,False
AP022647.1,568,val,False
AP022648.1,568,val,False
AP022649.1,86,train,False
AP022666.1,27850,train,False
AP022667.1,27858,train,False
AP022668.1,11,val,False
AP022669.1,12,train,False
AP022670.1,20,val,False
AP022831.1,27860,train,False
AP022832.1,27861,train,False
AP022833.1,27862,train,False
