sample_id	molecule_type	primary_cluster_id	secondary_cluster_id	contig_id	size	gc	md5	circularity_status	rep_type(s)	rep_type_accession(s)	relaxase_type(s)	relaxase_type_accession(s)	mpf_type	mpf_type_accession(s)	orit_type(s)	orit_accession(s)	predicted_mobility	mash_nearest_neighbor	mash_neighbor_distance	mash_neighbor_identification	repetitive_dna_id	repetitive_dna_type	filtering_reason
samples-08-00-31-05-2024	chromosome	-	-	sample_0	9999	1.5801580158015802	79fb6ff137ec1119a6a8fc984400a4cf	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
samples-08-00-31-05-2024	chromosome	-	-	sample_1	9999	10.1010101010101	55653e1fb90f9c2128370e3b95d4c68e	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
samples-08-00-31-05-2024	chromosome	-	-	sample_2	7647	45.73035177193671	ace098b936fe41e8071894ca9e3c557d	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
samples-08-00-31-05-2024	chromosome	-	-	sample_3	265	76.22641509433963	47ca4a583bbf62c3acdf9eca42a09a87	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
samples-08-00-31-05-2024	chromosome	-	-	sample_4	9999	86.38863886388638	fa230a02704a6ac01a3b4cc84085b396	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
samples-08-00-31-05-2024	chromosome	-	-	sample_5	9999	50.555055505550555	73ab09bff94ea36c706416d9e635bc00	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
samples-08-00-31-05-2024	chromosome	-	-	sample_6	9999	95.12951295129513	8633f301a921efff8b4f485f59967d28	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
samples-08-00-31-05-2024	chromosome	-	-	sample_7	9999	41.634163416341636	cca77e973a0afc6b317aa1ec732d495a	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
samples-08-00-31-05-2024	chromosome	-	-	sample_8	4506	54.260985352862846	ece1deef7f1aac9b412faa68d85cbfe0	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
samples-08-00-31-05-2024	chromosome	-	-	sample_9	9999	81.12811281128113	6662e8afe2c9544121e2b5f8ba87cba8	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
samples-08-00-31-05-2024	chromosome	-	-	sample_10	9999	59.855985598559855	4600d709f188636684d574c398209e42	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
samples-08-00-31-05-2024	chromosome	-	-	sample_11	9999	51.15511551155115	4e0ef5d8675b900802f193f176ace9d0	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
samples-08-00-31-05-2024	chromosome	-	-	sample_12	9999	87.06870687068707	bd26251a3c9f9feaf6fdea47a16523e6	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
samples-08-00-31-05-2024	chromosome	-	-	sample_13	878	58.086560364464695	01908abfb900a68465e7eca144c2f67c	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
samples-08-00-31-05-2024	chromosome	-	-	sample_14	4638	59.05562742561449	64ffc4b0bf144c6a366b4f7f8e971639	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
samples-08-00-31-05-2024	chromosome	-	-	sample_15	9999	50.225022502250226	55339cef3cfa28f4c0f958c6b2450cc9	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
samples-08-00-31-05-2024	chromosome	-	-	sample_16	7998	36.12153038259565	29f0a6c2481d36192f87c99b982a6f51	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
samples-08-00-31-05-2024	chromosome	-	-	sample_17	7493	44.441478713465905	b111674645447c54ccb7db49d341ebb2	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
samples-08-00-31-05-2024	chromosome	-	-	sample_18	9999	95.56955695569557	521e362dc3f48e9d4e1ee46158fd5c7a	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
samples-08-00-31-05-2024	chromosome	-	-	sample_19	9999	76.91769176917691	94110ef85e876292443d330a1c136342	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
samples-08-00-31-05-2024	chromosome	-	-	sample_20	9999	50.945094509450946	5460ce2f80c47d1b29d3f741b16a25c7	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
samples-08-00-31-05-2024	chromosome	-	-	sample_21	3679	51.291111715139984	d53153b5c70b9d001de44dc5c4954da9	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
samples-08-00-31-05-2024	chromosome	-	-	sample_22	7305	50.75975359342916	1b5e0ff86a3c3d9f178eaece46c2c639	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
samples-08-00-31-05-2024	chromosome	-	-	sample_23	9656	50.13463131731566	4022f202da51b2e7cf0ea78d46e9c161	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
samples-08-00-31-05-2024	chromosome	-	-	sample_24	9999	71.41714171417142	0aebaef7351f9e24eb6347f475043b91	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
samples-08-00-31-05-2024	chromosome	-	-	sample_25	5888	35.80163043478261	93e5e504c4d12048d3cb095f1abf8640	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
samples-08-00-31-05-2024	chromosome	-	-	sample_26	9999	33.133313331333134	9de6a6b65bbeb90f65cc341db1bfaeb7	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
samples-08-00-31-05-2024	chromosome	-	-	sample_27	9999	49.42494249424942	b11733fe75a660a9768b75806309dc98	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
samples-08-00-31-05-2024	chromosome	-	-	sample_28	7703	54.78385044787745	2e202d5f0852607a376d44aa0ff7fcc5	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
samples-08-00-31-05-2024	chromosome	-	-	sample_29	9999	61.22612261226123	708aa155c73853029c32667e2ccbf9f0	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
samples-08-00-31-05-2024	chromosome	-	-	sample_30	6720	53.214285714285715	31578958c1cd27fcef757bd76dfbde57	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
samples-08-00-31-05-2024	chromosome	-	-	sample_31	9999	19.161916191619163	1bdda30355ddab78ba01150f77ad2b23	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
