sample_id	molecule_type	primary_cluster_id	secondary_cluster_id	contig_id	size	gc	md5	circularity_status	rep_type(s)	rep_type_accession(s)	relaxase_type(s)	relaxase_type_accession(s)	mpf_type	mpf_type_accession(s)	orit_type(s)	orit_accession(s)	predicted_mobility	mash_nearest_neighbor	mash_neighbor_distance	mash_neighbor_identification	repetitive_dna_id	repetitive_dna_type	filtering_reason
samples_llm_feb11	chromosome	-	-	sample_0	1594	46.29861982434128	67428b905eaf3a29d99e31763964acf9	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
samples_llm_feb11	chromosome	-	-	sample_1	1755	39.6011396011396	52b3f9ed1bb1f4d445d5c2be5dcedfb8	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
samples_llm_feb11	chromosome	-	-	sample_2	10999	39.139921811073734	804f0bad1fde3849787a560327ef3e7c	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
samples_llm_feb11	chromosome	-	-	sample_3	5766	35.81338883107874	382585868a2edf177f1e011b68605b2e	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
samples_llm_feb11	chromosome	-	-	sample_4	3925	37.503184713375795	9e355d49c810f8728d05a0403651e48c	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
samples_llm_feb11	chromosome	-	-	sample_5	8132	32.181505164781115	df0235fae9bda40c21a0adc281184070	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
samples_llm_feb11	chromosome	-	-	sample_6	688	49.854651162790695	9a3b27a4130bd150196af81c4372daa2	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
samples_llm_feb11	chromosome	-	-	sample_7	10999	39.46722429311755	38a3bf43286f42358d9fb51c2fe741a7	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
samples_llm_feb11	chromosome	-	-	sample_8	5800	48.98275862068966	1c8d7ca35643505b0646ca9666c404bf	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
samples_llm_feb11	chromosome	-	-	sample_9	721	52.843273231622746	380d983cf6bebef138975de84eb44342	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
samples_llm_feb11	chromosome	-	-	sample_10	10999	39.90362760250932	8a95565a35ad5ad255cd8ef3e6780899	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
samples_llm_feb11	chromosome	-	-	sample_11	3158	49.46168461051298	eb9383f6a3a172269362e919afe612bc	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
samples_llm_feb11	chromosome	-	-	sample_12	7933	38.53523257279718	1a7af0ca1eea1cea82a4ea371f5b28ae	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
samples_llm_feb11	chromosome	-	-	sample_13	18	61.111111111111114	5e15fdcb61f236e7810b2bb5b6e2723c	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
samples_llm_feb11	chromosome	-	-	sample_14	4294	52.095947834187236	3cb4128b6d389d8a3f44c63240e62da8	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
